t_Myr,M_base_Msun,M_rB_up20,M_rB_down20,M_lambdaEdd4
3.267267267267267350e+00,2.460450450450450182e+07,2.950540540540540218e+07,1.970360360360360518e+07,3.277267267267268151e+07
3.284284284284284539e+00,2.473213213213212788e+07,2.965855855855856091e+07,1.980570570570570976e+07,3.294284284284285083e+07
3.301301301301301727e+00,2.485975975975975767e+07,2.981171171171171218e+07,1.990780780780781060e+07,3.311301301301302388e+07
3.318318318318318472e+00,2.498738738738738373e+07,2.996486486486486346e+07,2.000990990990991145e+07,3.328318318318319321e+07
3.335335335335335660e+00,2.511501501501501352e+07,3.011801801801801845e+07,2.011201201201201603e+07,3.345335335335336253e+07
3.352352352352352849e+00,2.524264264264264330e+07,3.027117117117117345e+07,2.021411411411411688e+07,3.362352352352353185e+07
3.369369369369369593e+00,2.537027027027026564e+07,3.042432432432432473e+07,2.031621621621621773e+07,3.379369369369370490e+07
3.386386386386386782e+00,2.549789789789789915e+07,3.057747747747747973e+07,2.041831831831832230e+07,3.396386386386387795e+07
3.403403403403403527e+00,2.562552552552552149e+07,3.073063063063062727e+07,2.052042042042042315e+07,3.413403403403404355e+07
3.420420420420420715e+00,2.575315315315315127e+07,3.088378378378378600e+07,2.062252252252252400e+07,3.430420420420421660e+07
3.437437437437437904e+00,2.588078078078078106e+07,3.103693693693693727e+07,2.072462462462462857e+07,3.447437437437438965e+07
3.454454454454454648e+00,2.600840840840840340e+07,3.119009009009008855e+07,2.082672672672672942e+07,3.464454454454455525e+07
3.471471471471471837e+00,2.613603603603603691e+07,3.134324324324324355e+07,2.092882882882883400e+07,3.481471471471472830e+07
3.488488488488489025e+00,2.626366366366366297e+07,3.149639639639639854e+07,2.103093093093093485e+07,3.498488488488489389e+07
3.505505505505505770e+00,2.639129129129128903e+07,3.164954954954954982e+07,2.113303303303303570e+07,3.515505505505506694e+07
3.522522522522522959e+00,2.651891891891891882e+07,3.180270270270270482e+07,2.123513513513514027e+07,3.532522522522525489e+07
3.539539539539539703e+00,2.664654654654654488e+07,3.195585585585585609e+07,2.133723723723724112e+07,3.549539539539542794e+07
3.556556556556556892e+00,2.677417417417417467e+07,3.210900900900901109e+07,2.143933933933934197e+07,3.566556556556560099e+07
3.573573573573574080e+00,2.690180180180180073e+07,3.226216216216216236e+07,2.154144144144144654e+07,3.583573573573575914e+07
3.590590590590590825e+00,2.702942942942942679e+07,3.241531531531531364e+07,2.164354354354354739e+07,3.600590590590591729e+07
3.607607607607608013e+00,2.715705705705705658e+07,3.256846846846846864e+07,2.174564564564564824e+07,3.617607607607610524e+07
3.624624624624624758e+00,2.728468468468468264e+07,3.272162162162161991e+07,2.184774774774774909e+07,3.634624624624626338e+07
3.641641641641641947e+00,2.741231231231231242e+07,3.287477477477477491e+07,2.194984984984985366e+07,3.651641641641642153e+07
3.658658658658659135e+00,2.753993993993993849e+07,3.302792792792792991e+07,2.205195195195195451e+07,3.668658658658660948e+07
3.675675675675675880e+00,2.766756756756756455e+07,3.318108108108108118e+07,2.215405405405405536e+07,3.685675675675676763e+07
3.692692692692693068e+00,2.779519519519519433e+07,3.333423423423423618e+07,2.225615615615615994e+07,3.702692692692695558e+07
3.709709709709710257e+00,2.792282282282282412e+07,3.348738738738739118e+07,2.235825825825826079e+07,3.719709709709711373e+07
3.726726726726727001e+00,2.805045045045045018e+07,3.364054054054053873e+07,2.246036036036036164e+07,3.736726726726730168e+07
3.743743743743744190e+00,2.817807807807807624e+07,3.379369369369369745e+07,2.256246246246246621e+07,3.753743743743745983e+07
3.760760760760760935e+00,2.830570570570570230e+07,3.394684684684684873e+07,2.266456456456456706e+07,3.770760760760761797e+07
3.777777777777778123e+00,2.843333333333333209e+07,3.410000000000000000e+07,2.276666666666667163e+07,3.787777777777780592e+07
3.794794794794795312e+00,2.856096096096096188e+07,3.425315315315312147e+07,2.286876876876877248e+07,3.804794794794796407e+07
3.811811811811812056e+00,2.868858858858858794e+07,3.440630630630628765e+07,2.297087087087087333e+07,3.821811811811812222e+07
3.828828828828829245e+00,2.881621621621621400e+07,3.455945945945942402e+07,2.307297297297297791e+07,3.838828828828831017e+07
3.845845845845845989e+00,2.894384384384384006e+07,3.471261261261257529e+07,2.317507507507507503e+07,3.855845845845846832e+07
3.862862862862863178e+00,2.907147147147146985e+07,3.486576576576574147e+07,2.327717717717717960e+07,3.872862862862865627e+07
3.879879879879880367e+00,2.919909909909909964e+07,3.501891891891889274e+07,2.337927927927928418e+07,3.889879879879881442e+07
